series_id,value,date
LAUST310000000000007,66.7,2024 October
LAUST310000000000007,66.5,2024 September
LAUST310000000000007,66.6,2024 August
LAUST310000000000007,67.0,2024 July
LAUST310000000000007,66.8,2024 June
LAUST310000000000007,66.7,2024 May
LAUST310000000000007,67.1,2024 April
LAUST310000000000007,66.9,2024 March
LAUST310000000000007,66.4,2024 February
LAUST310000000000007,66.4,2024 January
LAUST310000000000007,66.7,2023 December
LAUST310000000000007,67.5,2023 November
LAUST310000000000007,67.3,2023 October
LAUST310000000000007,67.3,2023 September
LAUST310000000000007,67.4,2023 August
LAUST310000000000007,68.1,2023 July
LAUST310000000000007,68.0,2023 June
LAUST310000000000007,68.0,2023 May
LAUST310000000000007,68.0,2023 April
LAUST310000000000007,67.6,2023 March
LAUST310000000000007,67.3,2023 February
LAUST310000000000007,66.9,2023 January
LAUST310000000000007,67.4,2022 December
LAUST310000000000007,67.6,2022 November
LAUST310000000000007,67.7,2022 October
LAUST310000000000007,67.6,2022 September
LAUST310000000000007,67.8,2022 August
LAUST310000000000007,68.3,2022 July
LAUST310000000000007,68.3,2022 June
LAUST310000000000007,68.4,2022 May
LAUST310000000000007,68.1,2022 April
LAUST310000000000007,68.1,2022 March
LAUST310000000000007,67.7,2022 February
LAUST310000000000007,67.3,2022 January
